lag_1,lag_2,lag_3,return_1d,ma_5,ma_10,target
115.78,115.77,115.94,0.003973052340646044,115.91399999999999,115.748,0
116.24,115.78,115.77,-0.009635237439779676,115.77000000000001,115.69800000000001,1
115.12,116.24,115.78,0.0023453787352327726,115.66,115.63500000000002,0
115.39,115.12,116.24,-0.017332524482190803,115.18400000000001,115.33599999999998,1
113.39,115.39,115.12,0.007672634271099765,114.88,115.207,0
114.26,113.39,115.39,-0.00122527568702957,114.45599999999999,115.18500000000002,1
114.12,114.26,113.39,0.0041184717840869745,114.35,115.05999999999999,1
114.59,114.12,114.26,0.005846932542106664,114.324,114.99199999999999,0
115.26,114.59,114.12,-0.0019954884608710532,114.652,114.91799999999998,1
115.03,115.26,114.59,0.0076501782143787445,114.98200000000001,114.931,1
115.91,115.03,115.26,0.0008627383314641079,115.36000000000001,114.90799999999999,0
116.01,115.91,115.03,-0.011809326782173946,115.37,114.86000000000001,1
114.64,116.01,115.91,0.007327285415212881,115.41400000000002,114.869,0
115.48,114.64,116.01,-0.005368895046761413,115.38,115.016,0
114.86,115.48,114.64,-0.0017412502176562539,115.13,115.05600000000001,1
114.66,114.86,115.48,0.006802721088435382,115.016,115.18799999999999,1
115.44,114.66,114.86,0.0009528759528758535,115.19800000000001,115.28400000000002,0
115.55,115.44,114.66,-0.007009952401557773,115.05,115.23200000000001,1
114.74,115.55,115.44,0.00923827784556397,115.23800000000001,115.30900000000001,0
115.8,114.74,115.55,-0.0007772020725388407,115.44800000000001,115.28900000000002,1
115.71,115.8,114.74,0.0073459510846081155,115.672,115.34400000000001,0
116.56,115.71,115.8,-0.0012868908716541227,115.84400000000001,115.52099999999999,1
116.41,116.56,115.71,0.004037453826990722,116.272,115.66099999999999,1
116.88,116.41,116.56,0.0037645448323067043,116.576,115.907,0
117.32,116.88,116.41,-0.001108080463689043,116.872,116.16,0
117.19,117.32,116.88,-0.0003583923542964662,116.9896,116.3308,1
117.148,117.19,117.32,0.0018950387543961167,117.1816,116.5128,1
117.37,117.148,117.19,0.0018744142455482393,117.32359999999998,116.79779999999998,0
117.59,117.37,117.148,-0.002296113615103401,117.32359999999998,116.94979999999998,0
117.32,117.59,117.37,-0.0032390044323218348,117.27359999999999,117.07279999999999,0
116.94,117.32,117.59,-0.0038481272447409287,117.14200000000001,117.0658,0
116.49,116.94,117.32,-0.008841960683320438,116.75999999999999,116.97080000000001,0
115.46,116.49,116.94,-0.0077949073272127745,116.154,116.7388,0
114.56,115.46,116.49,-0.0010300279329609197,115.57839999999999,116.451,1
114.442,114.56,115.46,0.003652505199140288,115.1624,116.218,0
114.86,114.442,114.56,-0.00592025074003133,114.70039999999999,115.9212,0
114.18,114.86,114.442,-0.0019005079698722893,114.401,115.58049999999999,1
